Região,Porte,Desenvolvimento,Porte,Codigo,Município,,CrecheTotal,CrecheFederal,CrecheEstadual,CrecheMunicipal,CrechePrivada,,PreEscolaTotal,PreEscolaFederal,PreEscolaEstadual,PreEscolaMunicipal,PreEscolaPrivada,,EFAnosInciaisTotal,EFAnosInciaisFederal,EFAnosInciaisEstadual,EFAnosInciaisMunicipal,EFAnosInciaisPrivada,,EFAnosFinaisTotal,EFAnosFinaisFederal,EFAnosFinaisEstadual,EFAnosFinaisMunicipal,EFAnosFinaisPrivada,,EnsinoMédioRegularTotal,EnsinoMédioRegularFederal,EnsinoMédioRegularEstadual,EnsinoMédioRegularMunicipal,EnsinoMédioRegularPrivada,,EProfisIntegradoTotal,EProfisIntegradoFederal,EProfisIntegradoEstadual,EProfisIntegradoMunicipal,EProfisIntegradoPrivada,,EProfisConcomitanteTotal,EProfisConcomitanteFederal,EProfisConcomitanteEstadual,EProfisConcomitanteMunicipal,EProfisConcomitantePrivada,,EProfisSubsequenteTotal,EProfisSubsequenteFederal,EProfisSubsequenteEstadual,EProfisSubsequenteMunicipal,EProfisSubsequentePrivada,,EJATotal,,EJAEnsinoFundamentalTotal,EJAEnsinoFundamentalFederal,EJAEnsinoFundamentalEstadual,EJAEnsinoFundamentalMunicipal,EJAEnsinoFundamentalPrivada,,EJAEnsinoMédioTotal,EJAEnsinoMédioFederal,EJAEnsinoMédioEstadual,EJAEnsinoMédioMunicipal,EJAEnsinoMédioPrivada
Região Administrativa de Campinas,Municípios de Médio Porte,Municípios de Médio Porte: de 50.001 até 100.000 habitantes,Municípios de Médio Porte: de 55.001 até 100.000 habitantes,3512803,Cosmópolis,,1208,0,0,1125,83,,1376,0,0,1226,150,,3735,0,0,3283,452,,2947,0,275,2341,331,,2.339,0,2.127,0,212,,305,0,305,0,0,,24,0,0,0,24,,172,0,0,0,172,,"141,00",,"74,00","0,00","0,00","74,00","0,00",,"67,00","0,00","67,00","0,00","0,00"
Região Administrativa de São José do Rio Preto,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 5.001 até 10.000 habitantes,3512902,Cosmorama,,220,0,0,220,0,,216,0,0,216,0,,487,0,0,487,0,,417,0,127,290,0,,172,0,172,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Metropolitana de São Paulo_Sudoeste,Município de Grande Porte,Municípios de Grande Porte: de 100.001 até 900.000 habitantes,Municípios de Grande Porte: de 250.001 até 300.000 habitantes,3513009,Cotia,,7196,0,0,5908,1288,,7919,0,0,6070,1849,,23277,0,50,17238,5989,,18157,0,11263,1910,4984,,13.981,0,11.168,0,2.813,,885,0,885,0,0,,233,0,78,0,155,,875,0,101,0,774,,"618,00",,"355,00","0,00","0,00","355,00","0,00",,"263,00","0,00","263,00","0,00","0,00"
Região Administrativa de Ribeirão Preto,Município de Pequeno Porte II,Municípios de Pequeno Porte II: de 20.001 até 50.000 habitantes,Municípios de Pequeno Porte II: de 30.001 até 40.000 habitantes,3513108,Cravinhos,,807,0,0,559,248,,806,0,0,613,193,,2277,0,0,1971,306,,1737,0,1137,440,160,,1.133,0,1.052,0,81,,129,0,129,0,0,,19,0,19,0,0,,43,0,43,0,0,,"219,00",,"79,00","0,00","48,00","31,00","0,00",,"140,00","0,00","140,00","0,00","0,00"
Região Administrativa de Franca,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 5.001 até 10.000 habitantes,3513207,Cristais Paulista,,309,0,0,25,284,,240,0,0,133,107,,612,0,0,612,0,,479,0,0,479,0,,383,0,383,0,0,,70,0,70,0,0,,0,0,0,0,0,,0,0,0,0,0,,"11,00",,"11,00","0,00","0,00","11,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de Marília,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 1.001 até 5.000 habitantes,3513306,Cruzália,,75,0,0,75,0,,32,0,0,32,0,,111,0,0,111,0,,81,0,81,0,0,,57,0,57,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de São José dos Campos,Municípios de Médio Porte,Municípios de Médio Porte: de 50.001 até 100.000 habitantes,Municípios de Médio Porte: de 55.001 até 100.000 habitantes,3513405,Cruzeiro,,1238,0,0,895,343,,1746,0,0,1264,482,,4657,0,0,2902,1755,,4032,0,1062,1449,1521,,3.018,0,2.075,0,943,,824,0,824,0,0,,88,0,87,0,1,,558,0,499,0,59,,"268,00",,"87,00","0,00","0,00","87,00","0,00",,"181,00","0,00","181,00","0,00","0,00"
Região Administrativa de Santos,Município de Grande Porte,Municípios de Grande Porte: de 100.001 até 900.000 habitantes,Municípios de Grande Porte: de 100.001 até 150.000 habitantes,3513504,Cubatão,,3056,0,0,1896,1160,,2897,0,0,2525,372,,7904,0,875,5766,1263,,6162,0,1909,3416,837,,5.242,466,4.372,0,404,,1332,466,866,0,0,,494,13,107,93,281,,838,96,264,243,235,,"879,00",,"534,00","0,00","0,00","534,00","0,00",,"345,00","37,00","308,00","0,00","0,00"
Região Administrativa de São José dos Campos,Município de Pequeno Porte II,Municípios de Pequeno Porte II: de 20.001 até 50.000 habitantes,Municípios de Pequeno Porte II: de 20.001 até 30.000 habitantes,3513603,Cunha,,261,0,0,228,33,,504,0,0,441,63,,1231,0,0,1044,187,,1053,0,902,0,151,,780,0,721,0,59,,210,0,210,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa Central,Município de Pequeno Porte II,Municípios de Pequeno Porte II: de 20.001 até 50.000 habitantes,Municípios de Pequeno Porte II: de 30.001 até 40.000 habitantes,3513702,Descalvado,,701,0,0,476,225,,699,0,0,627,72,,1935,0,0,1520,415,,1540,0,0,1111,429,,1.092,0,904,0,188,,54,0,54,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Metropolitana de São Paulo_Sudeste,Município de Grande Porte,Municípios de Grande Porte: de 100.001 até 900.000 habitantes,Municípios de Grande Porte: de 350.001 até 400.000 habitantes,3513801,Diadema,,8794,0,0,4018,4776,,9081,0,0,8023,1058,,26231,0,10057,11405,4769,,21976,0,18385,0,3591,,21.346,0,19.622,0,1.724,,924,0,924,0,0,,420,0,220,0,200,,2597,0,612,0,1985,,3.076,,2.258,"0,00","42,00",2.216,"0,00",,"818,00","0,00","818,00","0,00","0,00"
Região Administrativa de São José do Rio Preto,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 1.001 até 5.000 habitantes,3513850,Dirce Reis,,69,0,0,69,0,,31,0,0,31,0,,78,0,51,27,0,,83,0,83,0,0,,39,0,39,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de Campinas,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 10.001 até 15.000 habitantes,3513900,Divinolândia,,273,0,0,256,17,,280,0,0,264,16,,589,0,0,535,54,,500,0,108,374,18,,271,0,271,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa Central,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 5.001 até 10.000 habitantes,3514007,Dobrada,,236,0,0,236,0,,206,0,0,206,0,,550,0,449,101,0,,467,0,467,0,0,,241,0,241,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"104,00",,"42,00","0,00","26,00","16,00","0,00",,"62,00","0,00","62,00","0,00","0,00"
Região Administrativa de Bauru,Município de Pequeno Porte II,Municípios de Pequeno Porte II: de 20.001 até 50.000 habitantes,Municípios de Pequeno Porte II: de 20.001 até 30.000 habitantes,3514106,Dois Córregos,,567,0,0,463,104,,657,0,0,577,80,,1672,0,0,1448,224,,1358,0,633,570,155,,1.189,0,996,0,193,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"177,00",,"81,00","0,00","0,00","81,00","0,00",,"96,00","0,00","96,00","0,00","0,00"
Região Administrativa de São José do Rio Preto,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 1.001 até 5.000 habitantes,3514205,Dolcinópolis,,74,0,0,74,0,,62,0,0,62,0,,152,0,0,152,0,,109,0,109,0,0,,47,0,47,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa Central,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 5.001 até 10.000 habitantes,3514304,Dourado,,217,0,0,194,23,,214,0,0,193,21,,447,0,0,437,10,,344,0,0,344,0,,219,0,219,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"31,00",,"31,00","0,00","0,00","0,00","31,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de Presidente Prudente,Município de Pequeno Porte II,Municípios de Pequeno Porte II: de 20.001 até 50.000 habitantes,Municípios de Pequeno Porte II: de 40.001 até 50.000 habitantes,3514403,Dracena,,1209,0,0,1098,111,,935,0,0,791,144,,2478,0,0,1934,544,,2088,0,1507,74,507,,1.775,0,1.433,0,342,,520,0,464,0,56,,62,0,56,3,3,,519,0,347,88,84,,"199,00",,"88,00","0,00","60,00","28,00","0,00",,"111,00","0,00","111,00","0,00","0,00"
Região Administrativa de Bauru,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 10.001 até 15.000 habitantes,3514502,Duartina,,240,0,0,125,115,,275,0,0,205,70,,709,0,0,610,99,,605,0,402,0,203,,324,0,231,0,93,,33,0,33,0,0,,2,0,0,0,2,,54,0,0,0,54,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de Ribeirão Preto,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 5.001 até 10.000 habitantes,3514601,Dumont,,278,0,0,258,20,,251,0,0,227,24,,586,0,0,545,41,,449,0,0,427,22,,468,0,468,0,0,,21,0,21,0,0,,0,0,0,0,0,,0,0,0,0,0,,"63,00",,"25,00","0,00","11,00","14,00","0,00",,"38,00","0,00","38,00","0,00","0,00"
Região Administrativa de Marília,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 5.001 até 10.000 habitantes,3514700,Echaporã,,158,0,0,158,0,,154,0,0,154,0,,391,0,0,391,0,,294,0,294,0,0,,244,0,244,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de Registro,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 10.001 até 15.000 habitantes,3514809,Eldorado,,158,0,0,158,0,,394,0,1,393,0,,1027,0,4,1023,0,,814,0,814,0,0,,516,0,516,0,0,,22,0,22,0,0,,0,0,0,0,0,,0,0,0,0,0,,"98,00",,"33,00","0,00","33,00","0,00","0,00",,"65,00","0,00","65,00","0,00","0,00"
Região Administrativa de Campinas,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 15.001 até 20.000 habitantes,3514908,Elias Fausto,,419,0,0,419,0,,469,0,0,469,0,,1215,0,0,1200,15,,1018,0,0,1018,0,,837,0,837,0,0,,63,0,63,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de São José do Rio Preto,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 1.001 até 5.000 habitantes,3514924,Elisiário,,69,0,0,69,0,,41,0,0,41,0,,190,0,0,190,0,,133,0,0,133,0,,136,0,136,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de Barretos,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 1.001 até 5.000 habitantes,3514957,Embaúba,,58,0,0,58,0,,50,0,0,50,0,,121,0,0,121,0,,109,0,109,0,0,,83,0,83,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Metropolitana de São Paulo_Sudoeste,Município de Grande Porte,Municípios de Grande Porte: de 100.001 até 900.000 habitantes,Municípios de Grande Porte: de 250.001 até 300.000 habitantes,3515004,Embu das Artes,,5726,0,0,2905,2821,,7297,0,0,6355,942,,20177,0,5145,11883,3149,,16390,0,13131,1051,2208,,13.138,0,12.232,33,873,,1078,0,1078,0,0,,212,0,197,0,15,,517,0,376,0,141,,"921,00",,"617,00","0,00","0,00","617,00","0,00",,"304,00","0,00","304,00","0,00","0,00"
Região Metropolitana de São Paulo_Sudoeste,Municípios de Médio Porte,Municípios de Médio Porte: de 50.001 até 100.000 habitantes,Municípios de Médio Porte: de 55.001 até 100.000 habitantes,3515103,Embu-Guaçu,,1456,0,0,1276,180,,1846,0,0,1558,288,,5190,0,2552,1809,829,,4386,0,3233,306,847,,3.127,0,2.681,0,446,,125,0,125,0,0,,0,0,0,0,0,,0,0,0,0,0,,"130,00",,"43,00","0,00","30,00","13,00","0,00",,"87,00","0,00","87,00","0,00","0,00"
Região Administrativa de Presidente Prudente,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 1.001 até 5.000 habitantes,3515129,Emilianópolis,,96,0,0,96,0,,68,0,0,68,0,,152,0,0,152,0,,127,0,0,127,0,,133,0,133,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de Campinas,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 15.001 até 20.000 habitantes,3515152,Engenheiro Coelho,,591,0,0,577,14,,550,0,0,466,84,,1502,0,0,1117,385,,1167,0,787,0,380,,1.379,0,912,0,467,,180,0,0,0,180,,0,0,0,0,0,,0,0,0,0,0,,"99,00",,"50,00","0,00","0,00","50,00","0,00",,"49,00","0,00","49,00","0,00","0,00"
Região Administrativa de Campinas,Município de Pequeno Porte II,Municípios de Pequeno Porte II: de 20.001 até 50.000 habitantes,Municípios de Pequeno Porte II: de 30.001 até 40.000 habitantes,3515186,Espírito Santo do Pinhal,,861,0,0,658,203,,809,0,0,584,225,,2080,0,738,903,439,,1854,0,1494,0,360,,1.518,0,1.341,0,177,,411,0,411,0,0,,94,0,53,0,41,,274,0,200,0,74,,"74,00",,"15,00","0,00","15,00","0,00","0,00",,"59,00","0,00","59,00","0,00","0,00"
Região Administrativa de Marília,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 1.001 até 5.000 habitantes,3515194,Espírito Santo do Turvo,,169,0,0,169,0,,122,0,0,122,0,,289,0,0,289,0,,244,0,244,0,0,,86,0,86,0,0,,19,0,19,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de Campinas,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 10.001 até 15.000 habitantes,3557303,Estiva Gerbi,,317,0,0,289,28,,294,0,0,274,20,,719,0,0,585,134,,551,0,0,524,27,,469,0,469,0,0,,20,0,20,0,0,,0,0,0,0,0,,0,0,0,0,0,,"22,00",,"0,00","0,00","0,00","0,00","0,00",,"22,00","0,00","22,00","0,00","0,00"
Região Administrativa de São José do Rio Preto,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 5.001 até 10.000 habitantes,3515202,Estrela d'Oeste,,249,0,0,238,11,,163,0,0,150,13,,584,0,0,513,71,,424,0,357,0,67,,189,0,157,0,32,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"10,00",,"10,00","0,00","0,00","10,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de Presidente Prudente,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 1.001 até 5.000 habitantes,3515301,Estrela do Norte,,72,0,0,72,0,,73,0,0,73,0,,161,0,0,161,0,,149,0,149,0,0,,176,0,176,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"9,00",,"9,00","0,00","9,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de Presidente Prudente,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 5.001 até 10.000 habitantes,3515350,Euclides da Cunha Paulista,,101,0,0,101,0,,213,0,0,213,0,,473,0,0,473,0,,423,0,423,0,0,,410,0,410,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"34,00",,"10,00","0,00","10,00","0,00","0,00",,"24,00","0,00","24,00","0,00","0,00"
Região Administrativa de Itapeva,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 15.001 até 20.000 habitantes,3515400,Fartura,,511,0,0,304,207,,434,0,0,394,40,,1090,0,0,916,174,,838,0,762,0,76,,614,0,535,0,79,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"56,00",,"53,00","0,00","2,00","0,00","51,00",,"3,00","0,00","3,00","0,00","0,00"
Região Administrativa Central,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 5.001 até 10.000 habitantes,3515608,Fernando Prestes,,140,0,0,140,0,,120,0,0,120,0,,312,0,0,312,0,,274,0,0,274,0,,256,0,256,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de São José do Rio Preto,Municípios de Médio Porte,Municípios de Médio Porte: de 50.001 até 100.000 habitantes,Municípios de Médio Porte: de 55.001 até 100.000 habitantes,3515509,Fernandópolis,,1894,0,0,1731,163,,1599,0,0,1373,226,,4168,0,68,3041,1059,,3510,0,2312,192,1006,,3.165,0,2.629,0,536,,356,0,356,0,0,,208,0,208,0,0,,358,0,210,0,148,,"99,00",,"26,00","0,00","0,00","11,00","15,00",,"73,00","0,00","73,00","0,00","0,00"
Região Administrativa de Marília,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 1.001 até 5.000 habitantes,3515657,Fernão,,54,0,0,54,0,,42,0,0,42,0,,98,0,0,98,0,,120,0,120,0,0,,56,0,56,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Metropolitana de São Paulo_Leste,Município de Grande Porte,Municípios de Grande Porte: de 100.001 até 900.000 habitantes,Municípios de Grande Porte: de 150.001 até 200.000 habitantes,3515707,Ferraz de Vasconcelos,,4331,0,0,1788,2543,,4181,0,0,3590,591,,12152,0,0,10781,1371,,9221,0,7003,1355,863,,7.911,0,7.392,0,519,,1339,0,1339,0,0,,79,0,59,0,20,,694,0,216,0,478,,"639,00",,"392,00","0,00","0,00","392,00","0,00",,"247,00","0,00","247,00","0,00","0,00"
Região Administrativa de Presidente Prudente,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 1.001 até 5.000 habitantes,3515806,Flora Rica,,39,0,0,39,0,,16,0,0,16,0,,74,0,0,74,0,,57,0,0,57,0,,43,0,43,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"5,00",,"0,00","0,00","0,00","0,00","0,00",,"5,00","0,00","5,00","0,00","0,00"
Região Administrativa de São José do Rio Preto,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 1.001 até 5.000 habitantes,3515905,Floreal,,53,0,0,53,0,,43,0,0,43,0,,142,0,0,142,0,,98,0,98,0,0,,67,0,67,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de Presidente Prudente,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 10.001 até 15.000 habitantes,3516002,Flórida Paulista,,237,0,0,237,0,,207,0,0,207,0,,508,0,0,508,0,,426,0,426,0,0,,289,0,289,0,0,,80,0,80,0,0,,0,0,0,0,0,,0,0,0,0,0,,"184,00",,"84,00","0,00","84,00","0,00","0,00",,"100,00","0,00","100,00","0,00","0,00"
Região Administrativa de Marília,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 1.001 até 5.000 habitantes,3516101,Florínea,,80,0,0,80,0,,50,0,0,50,0,,194,0,159,35,0,,136,0,136,0,0,,90,0,90,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"57,00",,"43,00","0,00","43,00","0,00","0,00",,"14,00","0,00","14,00","0,00","0,00"
Região Administrativa de Franca,Município de Grande Porte,Municípios de Grande Porte: de 100.001 até 900.000 habitantes,Municípios de Grande Porte: de 350.001 até 400.000 habitantes,3516200,Franca,,9436,0,11,0,9425,,8980,0,0,3424,5556,,23652,0,5570,12944,5138,,17396,0,13901,0,3495,,15.281,0,13.272,0,2.009,,1339,0,1339,0,0,,172,0,113,0,59,,1381,0,496,0,885,,2.205,,"734,00","0,00","84,00","650,00","0,00",,1.471,"0,00","62,00",1.409,"0,00"
Região Metropolitana de São Paulo_Norte,Município de Grande Porte,Municípios de Grande Porte: de 100.001 até 900.000 habitantes,Municípios de Grande Porte: de 150.001 até 200.000 habitantes,3516309,Francisco Morato,,4747,0,0,4512,235,,5351,0,0,5033,318,,13958,0,489,12791,678,,11008,0,10546,0,462,,10.831,0,10.736,0,95,,790,0,790,0,0,,53,0,16,0,37,,437,0,88,0,349,,"571,00",,"285,00","0,00","0,00","285,00","0,00",,"286,00","0,00","286,00","0,00","0,00"
Região Metropolitana de São Paulo_Norte,Município de Grande Porte,Municípios de Grande Porte: de 100.001 até 900.000 habitantes,Municípios de Grande Porte: de 100.001 até 150.000 habitantes,3516408,Franco da Rocha,,3958,0,0,3798,160,,4094,0,0,3838,256,,10855,0,744,9121,990,,8602,0,7684,214,704,,7.886,0,7.641,0,245,,655,0,655,0,0,,280,0,208,0,72,,955,0,307,0,648,,1.175,,"730,00","0,00","400,00","330,00","0,00",,"445,00","0,00","445,00","0,00","0,00"
Região Administrativa de Araçatuba,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 1.001 até 5.000 habitantes,3516507,Gabriel Monteiro,,79,0,0,79,0,,61,0,0,61,0,,171,0,0,171,0,,129,0,129,0,0,,77,0,77,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de Marília,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 5.001 até 10.000 habitantes,3516606,Gália,,135,0,0,135,0,,131,0,0,131,0,,336,0,0,336,0,,236,0,236,0,0,,194,0,194,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"277,00",,"177,00","0,00","177,00","0,00","0,00",,"100,00","0,00","100,00","0,00","0,00"
Região Administrativa de Marília,Município de Pequeno Porte II,Municípios de Pequeno Porte II: de 20.001 até 50.000 habitantes,Municípios de Pequeno Porte II: de 40.001 até 50.000 habitantes,3516705,Garça,,912,0,0,790,122,,980,0,0,847,133,,2517,0,0,1960,557,,2233,0,1648,0,585,,1.719,0,1.409,0,310,,464,0,464,0,0,,174,0,174,0,0,,425,0,425,0,0,,"126,00",,"30,00","0,00","30,00","0,00","0,00",,"96,00","0,00","96,00","0,00","0,00"
Região Administrativa de Araçatuba,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 1.001 até 5.000 habitantes,3516804,Gastão Vidigal,,81,0,0,81,0,,74,0,0,74,0,,186,0,113,73,0,,165,0,165,0,0,,101,0,101,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa Central,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 1.001 até 5.000 habitantes,3516853,Gavião Peixoto,,205,0,0,205,0,,166,0,0,166,0,,361,0,0,361,0,,272,0,0,272,0,,148,0,148,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de Araçatuba,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 10.001 até 15.000 habitantes,3516903,General Salgado,,173,0,0,173,0,,205,0,0,177,28,,602,0,21,499,82,,496,0,33,428,35,,305,0,305,0,0,,33,0,33,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de Bauru,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 10.001 até 15.000 habitantes,3517000,Getulina,,161,0,0,147,14,,196,0,0,174,22,,476,0,0,401,75,,445,0,355,0,90,,197,0,197,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"66,00",,"30,00","0,00","23,00","7,00","0,00",,"36,00","0,00","36,00","0,00","0,00"
